firstName,middleName,lastName,dateOfBirth,address,drivingLicenseNumber
John,A.,Doe,14-05-1990,"123 Baker Street London NW1 6XE",D12345678
Jane,B.,Smith,23-11-1985,"456 High Street Manchester M1 2AB",D87654321
Jane,B.,Smith,23-11-1980,"456 High Street Manchester M1 2AB",D87654322
Emily,C.,Johnson,30-07-1992,"789 King Road Birmingham B1 1AA",D23456789
Michael,D.,Brown,12-03-1988,"101 Queen Avenue Liverpool L1 1AA",D34567890
Sarah,E.,Davis,05-09-1995,"202 Prince Street Leeds LS1 1AA",D45678901
David,F.,Miller,19-01-1991,"303 Duke Lane Glasgow G1 1AA",D56789012
Laura,G.,Wilson,25-06-1987,"404 Earl Road Edinburgh EH1 1AA",D67890123
Robert,H.,Moore,17-04-1993,"505 Baron Street Cardiff CF1 1AA",D78901234
Jessica,I.,Taylor,09-08-1996,"606 Viscount Avenue Belfast BT1 1AA",D89012345
Daniel,J.,Anderson,28-02-1989,"707 Count Lane Bristol BS1 1AA",D90123456
Sophia,K.,Thomas,15-12-1994,"808 Marquess Road Sheffield S1 1AA",D01234567
James,L.,Jackson,22-10-1990,"909 Duke Street Nottingham NG1 1AA",D12345098
Olivia,M.,White,03-05-1986,"1010 Earl Avenue Newcastle NE1 1AA",D23456109
William,N.,Harris,11-11-1992,"1111 Baron Lane Southampton SO1 1AA",D34567210
Isabella,O.,Martin,07-07-1995,"1212 Viscount Street Leicester LE1 1AA",D45678321
Joseph,P.,Thompson,29-09-1988,"1313 Count Avenue Coventry CV1 1AA",D56789432
Mia,Q.,Doe,21-03-1991,"1414 Marquess Lane Reading RG1 1AA",D67890543
Alexander,R.,Martinez,18-06-1993,"1515 Duke Road Derby DE1 1AA",D78901654
Charlotte,S.,Robinson,08-01-1996,"1616 Earl Street Plymouth PL1 1AA",D89012764
Benjamin,T.,Clark,26-08-1989,"1717 Baron Avenue Oxford OX1 1AA",D90123876
James,S.,Clarke,08-01-1996,"1616 Earl Street Plymouth PL1 1AA",D89012765
James,S.,Clarke,08-01-1996,"1616 Earl Street Plymouth PL1 1AA",D89012766
James,S.,Clarke,08-01-1996,"1616 Earl Street Plymouth PL1 1AA",D89012767
James,S.,Clarke,08-01-1996,"1616 Earl Street Plymouth PL1 1AA",D89012768
James,S.,Clarke,08-01-1996,"1616 Earl Street Plymouth PL1 1AA",D89012769
James,S.,Clarke,08-01-1996,"1616 Earl Street Plymouth PL1 1AA",D89012770
